VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1788,CARMENS1,TBL11,TABLE 11,36,A,GOLD,LEFT,,RECT,"12,346,33,366"
1788,CARMENS1,TBL12,TABLE 12,26,A,GOLD,LEFT,,RECT,"13,276,34,296"
1788,CARMENS1,TBL14,TABLE 14,20,A,GOLD,LEFT,,RECT,"13,204,34,226"
1788,CARMENS1,TBL20,TABLE 20,28,A,GOLD,LEFT,,RECT,"63,407,82,427"
1788,CARMENS1,TBL21,TABLE 21,24,A,GOLD,LEFT,,RECT,"61,358,81,375"
1788,CARMENS1,TBL22,TABLE 22,22,A,GOLD,LEFT,,RECT,"61,307,82,326"
1788,CARMENS1,TBL23,TABLE 23,18,H,GOLD,LEFT,,RECT,"62,238,81,277"
1788,CARMENS1,TBL24,TABLE 24,13,H,GOLD,LEFT,,RECT,"61,177,81,217"
1788,CARMENS1,TBL25,TABLE 25,9,H,GOLD,LEFT,,RECT,"61,115,84,153"
1788,CARMENS1,TBL30,TABLE 30,11,A,GOLD,LEFT,,CIRCLE,"126,302,22"
1788,CARMENS1,TBL31,TABLE 31,5,A,GOLD,LEFT,,RECT,"119,215,140,236"
1788,CARMENS1,TBL32,TABLE 32,3,A,GOLD,LEFT,,CIRCLE,"126,148,15"
1788,CARMENS1,TBL40,TABLE 40,7,A,GOLD,LEFT,,CIRCLE,"186,267,18"
1788,CARMENS1,TBL41,TABLE 41,1,A,GOLD,LEFT,,CIRCLE,"187,191,17"
1788,CARMENS1,TBL50,TABLE 50,34,A,GOLD,LEFT,,RECT,"135,424,157,445"
1788,CARMENS1,TBL51,TABLE 51,32,A,GOLD,LEFT,,RECT,"179,439,198,459"
1788,CARMENS1,TBL52,TABLE 52,30,A,GOLD,LEFT,,RECT,"217,453,236,473"
1788,CARMENS1,TBL53,TABLE 53,31,A,GOLD,LEFT,,RECT,"260,454,280,475"
1788,CARMENS1,TBL54,TABLE 54,33,A,GOLD,LEFT,,RECT,"301,439,321,459"
1788,CARMENS1,TBL55,TABLE 55,35,A,GOLD,LEFT,,RECT,"342,424,363,445"
1788,CARMENS1,TBL56,TABLE 56,16,A,GOLD,LEFT,,RECT,"180,373,201,393"
1788,CARMENS1,TBL57,TABLE 57,15,A,GOLD,LEFT,,RECT,"238,355,260,374"
1788,CARMENS1,TBL58,TABLE 58,17,A,GOLD,LEFT,,RECT,"299,373,319,392"
1788,CARMENS1,TBL60,TABLE 60,8,A,GOLD,LEFT,,CIRCLE,"305,267,17"
1788,CARMENS1,TBL61,TABLE 61,2,A,GOLD,LEFT,,CIRCLE,"305,192,18"
1788,CARMENS1,TBL70,TABLE 70,12,A,GOLD,LEFT,,CIRCLE,"366,301,16"
1788,CARMENS1,TBL71,TABLE 71,6,A,GOLD,LEFT,,CIRCLE,"365,228,17"
1788,CARMENS1,TBL72,TABLE 72,4,A,GOLD,LEFT,,CIRCLE,"365,146,19"
1788,CARMENS1,TBL80,TABLE 80,29,A,GOLD,LEFT,,RECT,"416,397,436,416"
1788,CARMENS1,TBL81,TABLE 81,25,A,GOLD,LEFT,,RECT,"416,330,437,349"
1788,CARMENS1,TBL82,TABLE 82,23,A,GOLD,LEFT,,RECT,"417,265,437,286"
1788,CARMENS1,TBL83,TABLE 83,14,A,GOLD,LEFT,,RECT,"415,197,436,221"
1788,CARMENS1,TBL84,TABLE 84,10,A,GOLD,LEFT,,RECT,"416,133,439,153"
1788,CARMENS1,TBL91,TABLE 91,37,A,GOLD,LEFT,,RECT,"465,359,484,380"
1788,CARMENS1,TBL92,TABLE 92,27,A,GOLD,LEFT,,RECT,"464,290,486,312"
1788,CARMENS1,TBL93,TABLE 93,21,A,GOLD,LEFT,,RECT,"465,224,484,244"
1788,CARMENS1,TBL94,TABLE 94,19,A,GOLD,LEFT,,RECT,"465,158,485,177"
