EventCode,SectionCode,Row,Seat,Priority,StatusCode,StatusDate,Aisle,OrderNumber,RowSort,SeatSort,Image,HoldType
47907,ADAL,A,0,2500,A,1/18/2006,1,,1,1,,0
47907,ADAL,B,0,2500,A,1/18/2006,1,,2,1,,0
47907,ADAL,C,0,2500,A,1/18/2006,1,,3,1,,0
47907,ADAL,D,0,2500,A,1/18/2006,1,,4,1,,0
47907,ADAL,E,0,2500,A,1/18/2006,1,,5,1,,0
47907,ADAL,F,0,2500,A,1/18/2006,1,,6,1,,0
47907,ADAL,G,0,2500,A,1/18/2006,1,,7,1,,0
47907,ADAL,H,0,2500,A,1/18/2006,1,,8,1,,0
47907,ADAL,I,0,2500,A,1/18/2006,1,,9,1,,0
47907,ADAL,J,0,2500,A,1/18/2006,1,,10,1,,0
47907,ADAL,K,0,2500,A,1/18/2006,1,,11,1,,0
47907,ADAL,L,0,2500,A,1/18/2006,1,,12,1,,0
47907,ADAL,M,0,2500,A,1/18/2006,1,,13,1,,0
47907,ADAL,N,0,2500,A,1/18/2006,1,,14,1,,0
47907,ADAL,O,0,2500,A,1/18/2006,1,,15,1,,0
47907,ADAL,P,0,2500,A,1/18/2006,1,,16,1,,0
47907,ADAL,Q,0,2500,A,1/18/2006,1,,17,1,,0
47907,ADAL,R,0,2500,A,1/18/2006,1,,18,1,,0
47907,ADAL,S,0,2500,A,1/18/2006,1,,19,1,,0
47907,ADAR,A,27,2500,A,1/18/2006,1,,1,1,,0
47907,ADAR,B,27,2500,A,1/18/2006,1,,2,1,,0
47907,ADAR,C,27,2500,A,1/18/2006,1,,3,1,,0
47907,ADAR,D,27,2500,A,1/18/2006,1,,4,1,,0
47907,ADAR,E,27,2500,A,1/18/2006,1,,5,1,,0
47907,ADAR,F,27,2500,A,1/18/2006,1,,6,1,,0
47907,ADAR,G,27,2500,A,1/18/2006,1,,7,1,,0
47907,ADAR,H,27,2500,A,1/18/2006,1,,8,1,,0
47907,ADAR,I,27,2500,A,1/18/2006,1,,9,1,,0
47907,ADAR,J,27,2500,A,1/18/2006,1,,10,1,,0
47907,ADAR,K,27,2500,A,1/18/2006,1,,11,1,,0
47907,ADAR,L,27,2500,A,1/18/2006,1,,12,1,,0
47907,ADAR,M,27,2500,A,1/18/2006,1,,13,1,,0
47907,ADAR,N,27,2500,A,1/18/2006,1,,14,1,,0
47907,ADAR,O,27,2500,A,1/18/2006,1,,15,1,,0
47907,ADAR,P,27,2500,A,1/18/2006,1,,16,1,,0
47907,ADAR,Q,27,2500,A,1/18/2006,1,,17,1,,0
47907,ADAR,R,27,2500,A,1/18/2006,1,,18,1,,0
47907,ADAR,S,27,2500,A,1/18/2006,1,,19,1,,0
47909,ADAL,A,0,2500,A,1/18/2006,1,,1,1,,0
47909,ADAL,B,0,2500,A,1/18/2006,1,,2,1,,0
47909,ADAL,C,0,2500,A,1/18/2006,1,,3,1,,0
47909,ADAL,D,0,2500,A,1/18/2006,1,,4,1,,0
47909,ADAL,E,0,2500,A,1/18/2006,1,,5,1,,0
47909,ADAL,F,0,2500,A,1/18/2006,1,,6,1,,0
47909,ADAL,G,0,2500,A,1/18/2006,1,,7,1,,0
47909,ADAL,H,0,2500,A,1/18/2006,1,,8,1,,0
47909,ADAL,I,0,2500,A,1/18/2006,1,,9,1,,0
47909,ADAL,J,0,2500,A,1/18/2006,1,,10,1,,0
47909,ADAL,K,0,2500,A,1/18/2006,1,,11,1,,0
47909,ADAL,L,0,2500,A,1/18/2006,1,,12,1,,0
47909,ADAL,M,0,2500,A,1/18/2006,1,,13,1,,0
47909,ADAL,N,0,2500,A,1/18/2006,1,,14,1,,0
47909,ADAL,O,0,2500,A,1/18/2006,1,,15,1,,0
47909,ADAL,P,0,2500,A,1/18/2006,1,,16,1,,0
47909,ADAL,Q,0,2500,A,1/18/2006,1,,17,1,,0
47909,ADAL,R,0,2500,A,1/18/2006,1,,18,1,,0
47909,ADAL,S,0,2500,A,1/18/2006,1,,19,1,,0
47909,ADAR,A,27,2500,A,1/18/2006,1,,1,1,,0
47909,ADAR,B,27,2500,A,1/18/2006,1,,2,1,,0
47909,ADAR,C,27,2500,A,1/18/2006,1,,3,1,,0
47909,ADAR,D,27,2500,A,1/18/2006,1,,4,1,,0
47909,ADAR,E,27,2500,A,1/18/2006,1,,5,1,,0
47909,ADAR,F,27,2500,A,1/18/2006,1,,6,1,,0
47909,ADAR,G,27,2500,A,1/18/2006,1,,7,1,,0
47909,ADAR,H,27,2500,A,1/18/2006,1,,8,1,,0
47909,ADAR,I,27,2500,A,1/18/2006,1,,9,1,,0
47909,ADAR,J,27,2500,A,1/18/2006,1,,10,1,,0
47909,ADAR,K,27,2500,A,1/18/2006,1,,11,1,,0
47909,ADAR,L,27,2500,A,1/18/2006,1,,12,1,,0
47909,ADAR,M,27,2500,A,1/18/2006,1,,13,1,,0
47909,ADAR,N,27,2500,A,1/18/2006,1,,14,1,,0
47909,ADAR,O,27,2500,A,1/18/2006,1,,15,1,,0
47909,ADAR,P,27,2500,A,1/18/2006,1,,16,1,,0
47909,ADAR,Q,27,2500,A,1/18/2006,1,,17,1,,0
47909,ADAR,R,27,2500,A,1/18/2006,1,,18,1,,0
47909,ADAR,S,27,2500,A,1/18/2006,1,,19,1,,0
